sp003-000001_RV_03	राज्ञी सुदक्षिणा गर्भमाधत्त इत्युक्तम्
sp003-000313_RV_03	अत्र तु तयोः प्राक् एकैककर्तृकम् एकैकविषयम् प्रेम सम्प्रति द्वितीयविषयलाभेऽपि नाहीयत
sp003-000314_RV_03	प्रत्युत उपचितमेव अभूत् इति भावः
sp003-000315_RV_03	उवाचेति
sp003-000316_RV_03	सः अर्भकः शिशुः
sp003-000317_RV_03	पोतः पाकोऽर्भको डिम्भः पृथुकः शावकः शिशुः इत्यमरः
sp003-000318_RV_03	धात्र्या उपमात्रा
sp003-000319_RV_03	धात्री जनन्यामलकी वसुमत्युपमातृषु इति विश्वः
sp003-000320_RV_03	प्रथमम् उदितम् उपदिष्टम् वचः उवाच
sp003-000321_RV_03	तदीयाम् अङ्गुलिम् अवलम्ब्य ययौ च
sp003-000322_RV_03	प्रणिपातस्य शिक्षया उपदेशेन नम्रः अभूच्च
sp003-000323_RV_03	इति यत् तेन पितुः मुदम् ततान
sp003-000324_RV_03	तमिति
sp003-000325_RV_03	शरीरयोगजैः सुखैः त्वचि त्वगिन्द्रिये अमृतम् निषिञ्चन्तम् वर्षन्तमिव तम् पुत्रम् अङ्कमारोप्य
sp003-000326_RV_03	मुदाविर्भावात् उपान्तयोः प्रान्तयोः सम्मीलितलोचनः सन्
sp003-000327_RV_03	नृपः चिरात् सुतस्पर्शरसज्ञताम् ययौ
sp003-000328_RV_03	रसः स्वादः
sp003-000329_RV_03	अमंस्तेति
sp003-000330_RV_03	स्थितेः अभेत्ता मर्यादापालकः स नृपः परार्ध्यजन्मना उत्कृष्टजन्मना अनेन रघुणा अन्वयम् वंशम्
sp003-000331_RV_03	प्रजानाम् पतिः ब्रह्मा
sp003-000332_RV_03	गुणाः सत्त्वादयः
sp003-000333_RV_03	तेषु अग्र्येण मुख्येन सत्वेन वर्तते व्याप्रियते इति गुणाग्र्यवर्ती
sp003-000334_RV_03	तेन स्वस्य मूर्तिभेदेन अवतारविशेषेण विष्णुना आत्मनः सर्गम् सृष्टिमिव
sp003-000335_RV_03	स्थितिमन्तम् प्रतिष्ठावन्तम् अमंस्त मन्यते स्म
sp003-000336_RV_03	मन्यतेः अनुदात्तत्वात् इट्प्रतिषेधः
sp003-000337_RV_03	अत्र उपमानोपमेययोः इतरेतरविशेषणानि इतरेतरत्र योज्यानि
sp003-000338_RV_03	तत्र रघुपक्षे गुणाः विद्याविनयादयः
sp003-000339_RV_03	गुणोऽप्रधाने रूपादौ मौर्व्याम् सूदे वृकोदरे
sp003-000340_RV_03	स्तम्बे सत्त्वादिसन्ध्यादिविद्यादिहरितादिषु इति विश्वः
sp003-000341_RV_03	शेषम् सुगमम्
sp003-000342_RV_03	स इति
sp003-000343_RV_03	चूडा कार्या द्विजातीनाम् सर्वेषामेव धर्मतः
sp003-000344_RV_03	प्रथमेऽब्दे तृतीये वा कर्तव्या श्रुतिचोदनात्
sp003-000345_RV_03	इति मनुस्मरणात् तृतीये वर्षे वृत्तचूलः निष्पन्नचूडाकर्मा सन्
sp003-000346_RV_03	डलयोरभेदः
sp003-000347_RV_03	सः रघुः
sp003-000348_RV_03	प्राप्ते तु पञ्चमे वर्षे विद्यारम्भम् च कारयेत् इति वचनात् पञ्चमे वर्षे चलकाकपक्षकैः चञ्चलशिखण्डकैः
sp003-000349_RV_03	बालानाम् तु शिखा प्रोक्ता काकपक्षः शिखण्डकः इति हलायुधः
sp003-000350_RV_03	सवयोभिः स्निग्धैः
sp003-000351_RV_03	स्निग्धो वयस्यः सवयाः इत्यमरः
sp003-000352_RV_03	अमात्यपुत्रैः रन्वितः सन्
sp003-000353_RV_03	लिपेः पञ्चाशद्वर्णात्मिकायाः मातृकायाः यथावत् ग्रहणेन सम्यक् बोधेन उपायभूतेन वाङ्मयम् शब्दजातम्
sp003-000354_RV_03	नद्याः मुखम् द्वारम्
sp003-000355_RV_03	मुखम् तु वदने मुख्यारम्भे द्वाराभ्युपाययोः इति यादवः
sp003-000356_RV_03	तेन कश्चिन्मकरादिः समुद्रमिव
sp003-000357_RV_03	आविशत् प्रविष्टः
sp003-000358_RV_03	ज्ञातवान् इत्यर्थः
sp003-000359_RV_03	अथेति
sp003-000360_RV_03	गर्भाष्टमेऽब्दे कुर्वीत ब्राह्मणस्योपनायनम्
