sp008-000001_SR_01	स मातुः पार्श्वम् प्राप्तः
sp008-000258_YS_01c	सर्वाश्च एताः वृत्तयः सुखदुःखमोहात्मिकाः
sp008-000259_YS_01c	सुखदुःखमोहाश्च क्लेशेषु व्याख्येयाः
sp008-000260_YS_01c	सुखानुशयी रागः दुःखानुशयी द्वेषः मोहः पुनरविद्या इति
sp008-000261_YS_01c	एताः सर्वाः वृत्तयो निरोद्धव्याः
sp008-000262_YS_01c	आसाम् निरोधे सम्प्रज्ञातो वा समाधिः भवति असम्प्रज्ञातो वा
sp008-000263_YS_01c	अभ्यासवैराग्याभ्याम् तन्निरोधः
sp008-000264_YS_01c	चित्तनदी नाम उभयतो वाहिनी
sp008-000265_YS_01c	वहति कल्याणाय वहति पापाय च
sp008-000266_YS_01c	या तु कैवल्यप्राग्भारा विवेकविषयनिम्ना सा कल्याणवहा
sp008-000267_YS_01c	संसारप्राग्भाराविवेकविषयनिम्ना पापवहा
sp008-000268_YS_01c	तत्र वैराग्येण विषयस्रोतः खिलीक्रियते
sp008-000269_YS_01c	विवेकदर्शनाभ्यासेन विवेकस्रोत उद्घाट्यते इति उभयाधीनः चित्तवृत्तिनिरोधः
sp008-000270_YS_01c	तत्र स्थितौ यत्नोऽभ्यासः
sp008-000271_YS_01c	चित्तस्य अवृत्तिकस्य प्रशान्तवाहिता स्थितिः तदर्थः प्रयन्तो वीर्यम् उत्साहः
sp008-000272_YS_01c	तत्सम्पिपादयिषया तत्साधनानुष्ठानम् अभ्यासः
sp008-000273_YS_01c	स तु दीर्घकाल नैरन्तर्य सत्कारासेवितो दृढभूमिः
sp008-000274_YS_01c	दीर्घकालसेवितो निरन्तरसेवितः सत्कारासेवितः
sp008-000275_YS_01c	तपसा ब्रह्मचर्येण विद्यया श्रद्धया च सम्पादितः सत्कारवान् दृढभूमिः भवति
sp008-000276_YS_01c	व्युत्थानसंस्कारेण द्रागित्येव अनभिभूतविषय इत्यर्थः
sp008-000277_YS_01c	दृष्टानुश्रविक विषय वितृष्णस्य वशीकारसञ्ज्ञा वैराग्यम्
sp008-000278_YS_01c	स्त्रियः अन्नम् पानम् ऐश्वर्यम् इति दृष्टविषये वितृष्णस्य स्वर्गवैदेह्यप्रकृतिलयत्वप्राप्तौ आनुश्रविकविषये वितृष्णस्य
sp008-000279_YS_01c	दिव्यादिव्यविषयसम्प्रयोगेऽपि चित्तस्य विषयदोषदर्शिनः प्रसङ्ख्यानबलात् अनाभोगात्मिका हेया उपादेयशून्या वशीकारसञ्ज्ञा वैराग्यम्
sp008-000280_YS_01c	तत्परम् पुरुषख्यातेर्गुणवैतृष्ण्यम्
sp008-000281_YS_01c	दृष्टानुश्रविकविषयदोषदर्शी विरक्तः पुरुषदर्शनाभ्यासात् तच्छुद्धि प्रविवेकाप्यायित बुद्धिः गुणेभ्यः व्यक्ताव्यक्तधर्मकेभ्यः विरक्तः इति
sp008-000282_YS_01c	तद्द्वयम् वैराग्यम्
sp008-000283_YS_01c	तत्र यदुत्तरम् तज्ज्ञानप्रसादमात्रम् यस्योदये प्रत्युदितख्यातिः एवम् मन्यते प्राप्तम् प्रापणीयम् क्षीणाः क्षेतव्याः क्लेशाः
