sp004-000001_KS_11	aByarTyeti
sp004-001449_KS_15	ekaviMSativAram kzatriyAnhatvA SAntaH aBUt itiH BAvaH
sp004-001450_KS_15	neti
sp004-001451_KS_15	kzatriyARAm
sp004-001452_KS_15	kzatrAdGaH iti GapratyayaH
sp004-001453_KS_15	AyaneyI iti tasya iyAdeSaH
sp004-001454_KS_15	kzayasambanDinIm kAlarAtrim karoti yaH saH jAmadagnyaH jamadagnerapatyam pumAn
sp004-001455_KS_15	rAmaH trilokyAm suBawena sutarAm yodDrA yena senAnyA saha
sp004-001456_KS_15	samarAya samaram kartum na valgati na calati
sp004-001457_KS_15	nEva udyuNkte ityarTaH
sp004-001458_KS_15	tena sakalarAjakula jiGatsat rAmaviBIzakena
sp004-001459_KS_15	senAnyA saha tava tvatkartfke vigrahagrahe raRagrahe
sp004-001460_KS_15	vigrahaH kAyavistAraviBAge nA raRe striyAm iti medinI
sp004-001461_KS_15	kutaH kasmAt avakASaH avasaraH syAt
sp004-001462_KS_15	api tu na syAt iti kAkvA vyAKyeyam
sp004-001463_KS_15	ataH sarvaTEva amunA saha tvayA na yodDavyam kim tu nivartanIyameva iti BAvaH
sp004-001464_KS_15	tyajeti
sp004-001465_KS_15	Bo madamUQa unmAdamUrKa ASu SIGram garvam aBimAnam tyaja
sp004-001466_KS_15	smarArisUnoH senAnyAH sambanDinI yA varA SrezWA SaktiH AyuDam
sp004-001467_KS_15	tasyAH gocaram vizayam mAsma gAH mA sma yAhi
sp004-001468_KS_15	tarhi kim kartavyam ityAha
sp004-001469_KS_15	aDunA idAnIm nUnameva niScayenEva
sp004-001470_KS_15	nUnam avaSyam niScaye dvayam ityamaraH
sp004-001471_KS_15	SaraRam rakzitAram
sp004-001472_KS_15	SaraRam gfharakzitroH vaDarakzaRayorapi iti medinI
sp004-001473_KS_15	tam jagatsuvIram senAnyam vraja gacCa
sp004-001474_KS_15	tat tasmAt gamanAdDetoH saH tvam cirAya jIva bahukAlam prARAnDAraya
sp004-001475_KS_15	kumAragamanam vinA na tava anyajjIvAtuH iti BAvaH
sp004-001476_KS_15	Srutveti
sp004-001477_KS_15	viyataH AkASasya iti evamBUtAm garIyasIm atiSayagurvIm
sp004-001478_KS_15	vAcam SrftvA kroDAdDetoH ahaNkAre aBimAne
sp004-001479_KS_15	garvoऽBimAnoऽhaNkAraH ityamaraH
sp004-001480_KS_15	paraH saktaH
sp004-001481_KS_15	paraH SrezWAdidUrAnyottare klIbam tu kevale iti medinI
sp004-001482_KS_15	AdiSabdasaNgfhitatvena SaktivAcakatvam vivecanIyam
sp004-001483_KS_15	saha asuraH tArakaH prakarzeRa kampitam vepitam aSezam samastam
sp004-001484_KS_15	jagatAm trayam yena taTABUtaH sannapi akampata cakampe
sp004-001485_KS_15	BAratyAH atyAptatvAditi BAvaH
sp004-001486_KS_15	aTa ca divam svargam uccEH uccEH svareRa aByaDAt acakaTat
sp004-001487_KS_15	kimiti
sp004-001488_KS_15	re vyomacarAH re iti nIcasamboDane
sp004-001489_KS_15	mahAsurAH mahAntaH surAH yUyam smarArisUnoH kumArasya
sp004-001490_KS_15	pratipakze kowO vartante taTABUtAH santaH kim brUTa vadaTa
sp004-001491_KS_15	nedam vAcyam iti DvaniH
sp004-001492_KS_15	nanu vAde tvayA kim kftam ityAha
sp004-001493_KS_15	sA pUrvatarA madIyAnAm bARAnAm sambanDinAm vraRAnAm
sp004-001494_KS_15	ranDrARAm vedanA pIqA aDunA hi idAnImeva kaTam
sp004-001495_KS_15	kena prakAreRa vismftigocarIkftA vismaraRavizayIkftA
sp004-001496_KS_15	api tu idAnImapi sEva smartavyA agre BokzyamARatvAt
sp004-001497_KS_15	kawusvarEriti
sp004-001498_KS_15	Bo devAH
sp004-001499_KS_15	yUyam ambarasTitAH AkASavartinaH santaH zaqdinajAtakasya
sp004-001500_KS_15	zaqdinajanmanaH SiSoH bAlasya balAt vIryAt hetoH kArtike bAhule mAsi
sp004-001501_KS_15	pramattAH unmattAH SvAnaH iva niSi vanAnte vanamaDye mfgaDUrttakAH mfgAH eva DUrtakAH
sp004-001502_KS_15	te iva kim prAlapaTa pralApam kuruTa
sp004-001503_KS_15	api tu madapekzayA nirvIryEH BavadBiH pralApo na viDeyaH iti BAvaH
sp004-001504_KS_15	saNgeneti
sp004-001505_KS_15	Bo devAH
sp004-001506_KS_15	vaH yuzmAkam saNgena sambanDena nimittena varAkaH atikfpaRatvAt SocanIyaH
sp004-001507_KS_15	varAkaH SaNkare puMsi SocanIyeऽBiDeyavat iti medinI
sp004-001508_KS_15	ezaH purovartI garBatapasvinaH
sp004-001509_KS_15	atra garBaSabdena garBatvam tadasyAstIti garBaH
sp004-001510_KS_15	arSa Adyac
sp004-001511_KS_15	tataH garBatvavAn iti nizpannam
sp004-001512_KS_15	garBatvam cAtra bAlatvam
sp004-001513_KS_15	garBo BrUReऽrBake kukzO iti medinI
sp004-001514_KS_15	evam ca bAlaH iti nizkarzaH
sp004-001515_KS_15	sa cAsO tapasvI ca
sp004-001516_KS_15	bAlatveऽpi tapasvitvakaTanAt vArDakye tu arTAtsidDam
sp004-001517_KS_15	evam ca bAlakatvamAraBya tapasvitvena nizkiYcanasya iti tAtparyArTaH
sp004-001518_KS_15	aTavA garBatvAditi lyabdyotanikA yA paYcamI
sp004-001519_KS_15	tadantena tapasvi Sabdasya samAsaH viDeyaH
sp004-001520_KS_15	garBatvam bAlatvamAraBya tapasvI ityarTaH
sp004-001521_KS_15	taTABUtasya Sivasya SiSuH bAlaH kumAraH
sp004-001522_KS_15	taskarasaNgataH cOrasaNgatena ataskaro yaTA acOra iva
sp004-001523_KS_15	Druvam niScayena antam maraRam avApsyati prapsyati
sp004-001524_KS_15	tat tasmAt vaH yuzmAn praTamam prAk nihanmi
sp004-001525_KS_15	vartamAnasAmIpye vartamAnavadvA iti BavizyakAleऽpi vartamAnaprayogaH
sp004-001526_KS_15	tataH BavadDananAnantaram amum kumAramapi nihanmi nihanizyAmi
sp004-001527_KS_15	itIti
sp004-001528_KS_15	iti pUrvoktam Irayati vadati mahAsure tArake kruDA hetunA
sp004-001529_KS_15	ugrataram atyantaBayAnakam mahAkfpARam mahAntam Kaqgam
sp004-001530_KS_15	alam paryAptatvena
sp004-001531_KS_15	anena praTamam sparSamAtraH eva iti vyajyate
sp004-001532_KS_15	alam BUzaRaparyAptivAraRezu nirarTake iti viSvaH
sp004-001533_KS_15	kalayati biBrati sati
sp004-001534_KS_15	naBaScarAH devAH BayAdDetoH parasparam anyonyam utpIqitAH
sp004-001535_KS_15	ati saNkIrRatayA DfzwatvAt vyaTitAH jAnavaH UruparvARi yezAm
sp004-001536_KS_15	jaNGA tu prasftA jAnUruparvAzWIvadastriyAm ityamaraH
sp004-001537_KS_15	taTABUtAH santaH dUrataram atidUram
sp004-001538_KS_15	dUrAntikArTeByo dvitIyA ca iti prAtipadikArTamAtre dvitIyA
sp004-001539_KS_15	vidudruvuH palAyAYcakrire
sp004-001540_KS_15	dru gatO ityasmAt kartari liw
sp004-001541_KS_15	tata iti
sp004-001542_KS_15	tataH anantaram saH tArakaH vikawam karAlam yaTA taTA
sp004-001543_KS_15	vakzyamARasya aseH viSezaRam vA
sp004-001544_KS_15	vikawA vajravArAhyAm trizu rucikarAlayoH iti medinI
sp004-001545_KS_15	vihasya awwahAsam kftvA
sp004-001546_KS_15	uttamam asim karavAlam koSAdbahiH vyaDatta kftavAn
sp004-001547_KS_15	aTa ca raTI saH raTam vAsavAntikam indrasamIpam drutam
sp004-001548_KS_15	nanu niScayena prApaya
sp004-001549_KS_15	iti nijam svIyam sAraTim sUtam avocat
sp004-001550_KS_15	nanu praSneऽpyanunaye anujYAneऽpyavaDAraRe iti viSvaH
sp004-001551_KS_15	mana iti
sp004-001552_KS_15	tataH anantaram manotivegena antaH karaRAdapi bahulagatijavena sAraTinA
sp004-001553_KS_15	praRoditena preritena raTena pracalan gacCan mahAsuraH tArakaH agrataH purataH
sp004-001554_KS_15	sTitam iti SezaH
sp004-001555_KS_15	apAram anavaDikam BayaNkarAkAram
sp004-001556_KS_15	viBIzakAkftimatpuruzam ityarTaH
sp004-001557_KS_15	surasEnyasAgaram devasenAsamudram prapede prApa
sp004-001558_KS_15	pura iti
sp004-001559_KS_15	vIraH SUraH
sp004-001560_KS_15	vIro rasaviSeze puMsyuttare suBawe trizu iti medinI
sp004-001561_KS_15	saH tArakaH praTIyasIm atipfTulAm surARAm devAnAm sambanDinIm
sp004-001562_KS_15	pftanAm senAm puraH agre vilokya pracaRqayoH bAhudaRqayoH BujadaRqayoH
sp004-001563_KS_15	daRqoऽstrI laguqe pumAn iti medinI
sp004-001564_KS_15	pramodajam Anandajanitam pulakam romAYcam BUmnA bAhulyena baBAra DftavAn
sp004-001565_KS_15	yataH saNgarakelO saNgrAmakrIqAyAm kOtukI utsAhavAn
sp004-001566_KS_15	vIrARAm senAdarSanameva mahAnmudo hetuH iti BAvaH
sp004-001567_KS_15	tata iti
sp004-001568_KS_15	tataH anantaram manasaH sakASAdapi ativeginaH atyantajavavantaH
sp004-001569_KS_15	taTA BUyasA atiSayena raRAnte saNgrAmamaDye yA lIlA vilAsaH
sp004-001570_KS_15	vilAsoऽtra samarANgaRADikaraRakam AtmIyaBujadaRqagata parAkramacamatkfti darSanam
sp004-001571_KS_15	tatra raBasena vegena
sp004-001572_KS_15	lIlAm viduH kelivilAsaKelA SrfNgAraBAvapraBavakriyAsu iti viSvaH
sp004-001573_KS_15	camvAm senAyAm carantIti vigrahe carezwaH iti wapratyayaH
sp004-001574_KS_15	taTABUtAH mahendrasya indrasya carAH cArAH dUtAH iti yAvat
sp004-001575_KS_15	caro dyUtaprabanDe syAt cArajaNgamayoScale iti viSvaH
sp004-001576_KS_15	samare saNgrAme yuyutsuBiH yodDum icCuBiH
sp004-001577_KS_15	BavadBirityarTaH
sp004-001578_KS_15	kim vilambyate kim vilambaH kriyate
sp004-001579_KS_15	api tu satvarameva yuDyatAm iti pratipakzAn vaktum ityapi SezaH
sp004-001580_KS_15	puraH agre praceluH
sp004-001581_KS_15	pura iti
sp004-001582_KS_15	devaripoH tArakasya camUcarAH senAcarAH puraHsTitam agrasTitam baladvizaH indrasya
sp004-001583_KS_15	sambanDinam sEnyasamudram senAsAgaram aByayuH sammuKatvena jagmuH
sp004-001584_KS_15	aTa ca aBitaH sammuKam
sp004-001585_KS_15	aBitaH SIGrasAkalyasammuKoBayatoऽntike iti viSvaH
sp004-001586_KS_15	Bujam bAhum samutkzipya utTApya AtmanaH aBiDAnam nAma
sp004-001587_KS_15	AKyAhve aBiDAnam ca nAmaDeyam ca nAma ca ityamaraH
sp004-001588_KS_15	uccEH svareRa pareByaH SatruByaH nyavedayan vayam amukanAmAnaH vayam amukanAmAnaH iti niveditavantaH
sp004-001589_KS_15	pura iti
sp004-001590_KS_15	mahAsurAH mahAntaH surAH indrAdayaH purogatam agre prAptam
sp004-001591_KS_15	dEtyasya tArakasya camUreva mahAn arRavaH samudraH tam dfzwvA param kevalam
sp004-001592_KS_15	paramavyayamicCanti iti viSvaH
sp004-001593_KS_15	cukzuBire saYceluH vivyaTuriti yAvat
sp004-001594_KS_15	raRe saNgare avahelayA madapekzayA keyam varAkikA senA iti anAdareRa
sp004-001595_KS_15	upalakzitasya tasya purArisUnoH Sivaputrasya nayanEkakoRake netrEkadeSe eva
sp004-001596_KS_15	koRovAdyapraBede syAt koRoऽbDO laguqeऽrkaje
sp004-001597_KS_15	vIRAdivAdanopAyeऽpi ekadeSe gfhasya ca iti viSvaH
sp004-001598_KS_15	atra gfhasyEva koRaH ityavivakzitam
sp004-001599_KS_15	anya sADAraRatvena prakfte izwasidDarTam upalakzitatvena gamanIyaH ityalam
sp004-001600_KS_15	BawAH yodDAraH mamuH samaviviSuH
sp004-001601_KS_15	dvizaditi
sp004-001602_KS_15	mahAraRotsavam uddiSya sTitaH anDakaSatrunandanaH kArttikeyaH dvizadbalatrAsena
sp004-001603_KS_15	tArakasEnyaSAsanena viBIzitAH BItAH divOkasAm devAnAm camUH senAH karma
sp004-001604_KS_15	prasAdaH anugrahaH sa eva pIyUzam amftam tadDarati taTABUtena cakzuzA apaSyat dadarSa
sp004-001605_KS_15	anena yUyam mA BEzwa prasannA Bavata niHSaNkam yuDyaDvam ceti vyajyate
sp004-001606_KS_15	utsAhitA iti
sp004-001607_KS_15	SaktiDarasya AyuDaviSezasya DAriRaH
sp004-001608_KS_15	Saktirbale praBAvAdO SaktiH praharaRAntare iti viSvaH
sp004-001609_KS_15	ata eva mfDe saNKye
sp004-001610_KS_15	mfDamAskandanam saNKyam ityamaraH
sp004-001611_KS_15	tasya kumArasya darSanAdDetoH utsAhitAH utsAham prAptAH mahendrapramuKAH indrapUrvAH maKASanAH yajYahavirBoktAraH
sp004-001612_KS_15	devAH mfDe saNgare ahameva arIn SatrUn jetum samarToऽsmi nAnyaH iti vadantaH santaH arIraman remire
sp004-001613_KS_15	taTAhi
sp004-001614_KS_15	varasya SrezWasya saNgatiH sambanDaH kasya puruzasya vIryAya vIryam kartum na Bavati
sp004-001615_KS_15	api tu sarvasyApi ityarTaH
sp004-001616_KS_15	gatavIryasya vIryakaraRe mahadASraya eva nidAnam nAnyat iti kAkvA Dvanyate
sp004-001617_KS_15	parasparamiti
sp004-001618_KS_15	raRe yudDe vijiyEziRaH vijayam prAptumicCavaH
sp004-001619_KS_15	ata eva yodDum yudDam kartum svakarEH AtmIyapARiBiH udDftAni gfhItAni AyuDAni KaqgAdIni
sp004-001620_KS_15	yEH taTABUtAH vajraDarasya indrasya dvizoऽpi tArakasya ca
sp004-001621_KS_15	apiH atra samuccayArTaH
sp004-001622_KS_15	api samBAvanApraSnaSaNkAgarhAsamuccaye iti viSvaH
sp004-001623_KS_15	sEnikAH senAcarAH
sp004-001624_KS_15	carati iti Wak
sp004-001625_KS_15	vEtAlikEH vandiBiH SrAvitAni AkarRitAni tAraH uccEH vikramaH aBiDAnAni nAmAni ca
sp004-001626_KS_15	yasminkarmaRi yaTA taTA parasparam anyonyam IyuH prApuH
sp004-001627_KS_15	mimIluH iti yAvat
sp004-001628_KS_15	saNgrAmamiti
sp004-001629_KS_15	pralayAya nazwacezwatAyE
sp004-001630_KS_15	tAm kartumityarTaH
sp004-001631_KS_15	saNgrAmam samaram sannipatataH samuditavataH
sp004-001632_KS_15	anyatra pralayAya lokasaMhArAya sannipatataH varDamAnasya
sp004-001633_KS_15	ata eva velAm maryAdAm
sp004-001634_KS_15	ekatra nyAyyAcaraRam anyatra avaDim
sp004-001635_KS_15	sImAnamiti yAvat
sp004-001636_KS_15	velAkAle ca jalaDO tIre nIravikArayoH
sp004-001637_KS_15	klizwarasane roge ca sImni vAci yuDi striyAm iti viSvaH
sp004-001638_KS_15	atikrAmataH ullaNGayataH
sp004-001639_KS_15	nirmaryAdatvena yuDyamAnasya sImAnam ullaNGya calataH ityarTaH
sp004-001640_KS_15	ata eva aSezAsu dikzu vyApinaH vyApnuvataH
sp004-001641_KS_15	uBayatrApi samAnam etat
sp004-001642_KS_15	taTA kAlasya yamasya sambanDi AtiTyam atiTyucitasatkAram Bunakti Bokzyati taToktasya
sp004-001643_KS_15	vartamAnasAmIpye iti law
sp004-001644_KS_15	anyatra kAlam kfzRam AtiTyam atiTisatkAram Bunakti Bojayati
sp004-001645_KS_15	antarBAvitaRijarTaH
sp004-001646_KS_15	pralaye varDamAnasamudranIre kevalam tasyEva vartamAnatvAt
sp004-001647_KS_15	vfndArakARAm devAnAm asurARAm ca ye sEnye te eva sAgarO samudrO tayoH yugalasya yugmasya
sp004-001648_KS_15	yugmam tu yugalam yugam ityamaraH
sp004-001649_KS_15	tatsambanDI krozaRaH muKaraH kolAhalaH kalakalaH bahalaH
sp004-001650_KS_15	ata eva SElasambanDinInAm uttAlAH uccatAlavfkzasahitAH yAH tawyaH sEkatAni
sp004-001651_KS_15	SrfNgARIti yAvat
sp004-001652_KS_15	tAsAm viGawwane sPowane pawuH samarTaH
sp004-001653_KS_15	aTa eva brahmARqe na kukzim Barati taToktaSca baBUva
sp004-001654_KS_15	SArdUlavikrIqitam vfttam
sp004-001655_KS_15	sUryASvEH masajastatAH saguravaH SArdUlavikrIqitam iti lakzaRAt
sp004-001656_KS_15	iti SrIparvaRIkara upanAmaka SrIlakzmaRaBawwAtmaja satIgarBasamBava SrIsItArAmakaviviracitayA saYjIvinIsamAKyayA
sp004-001657_KS_15	vyAKyayA sametaH SrIkAlidAsakftO kumArasamBave mahAkAvye surAsurasEnyasaNGawwo
sp004-001658_KS_15	nAma paYcadaSaH sargaH
sp004-001659_KS_16	aTeti
sp004-001660_KS_16	aTa surAsurasammelanAnantaram
sp004-001661_KS_16	BayaNkarEH Bayam utpAdayadBiH
sp004-001662_KS_16	anyonyam parasparam vimuktAni prahartum visfzwAni
sp004-001663_KS_16	astraSastrARAm SarAdimohanAdInAm jAlAni samUhAH tEH kftvA
sp004-001664_KS_16	sunAsIraH indraH surAriH tArakaH tayoH bale sEnye tayoH
sp004-001665_KS_16	balam ganDarase rUpe sTAmani sTOlyasEnyayoH iti viSvaH
sp004-001666_KS_16	mahat Goram yudDam saNgrAmaH AsIt baBUva
sp004-001667_KS_16	sargeऽsmin vfttam anuzwup
sp004-001668_KS_16	pattiriti
sp004-001669_KS_16	pattiH pAdacArI pattim pAdacAriRam
sp004-001670_KS_16	raTI raTAruQaH raTinam raTAruQam
sp004-001671_KS_16	turaNgasTaH aSvavAhaH turaNgasTam aSvavAham
sp004-001672_KS_16	dantini gaje sTitaH dantisTam gajAroham
sp004-001673_KS_16	raRAya raRam kartum aBIyAya sammuKam agamat
sp004-001674_KS_16	atra pratyekam kriyAsambanDaH viDeyaH
sp004-001675_KS_16	anyaTA vahutvaprasaNgaH
sp004-001676_KS_16	yudDAyeti
sp004-001677_KS_16	itaretaram parasparam yudDAya yudDam kartum DIram gamBIram yaTA taTA DAvatAm
sp004-001678_KS_16	vidravatAm vIrARAm yodDFRAm nAmAni kulADISAH kulasvAminaH
sp004-001679_KS_16	kulapradIpAH iti yAvat
sp004-001680_KS_16	anena svAtmavidyAyAm atiprAvIRyam vyajyate
sp004-001681_KS_16	vEtAlikAH vandinaH
sp004-001682_KS_16	alam BUzaRam
sp004-001683_KS_16	SoBeti yAvat
sp004-001684_KS_16	yaTA syAt taTA udAharan UcuH
sp004-001685_KS_16	ayam amukasaYjYakaH vIraH DAvati ayam amukasaYjYakaH vIraH DAvati
sp004-001686_KS_16	ityevamBUtam jagaduH ityarTaH
sp004-001687_KS_16	AtmaparAvaboDArTam iti BAvaH
sp004-001688_KS_16	paWatAmiti
sp004-001689_KS_16	pravIrAH prakfzwayodDAraH vikramAvalIm parAkramasamAhAram paWatAm stuvatAm sADu parAkrAntam sADu parAkrAntam iti vadatAm
sp004-001690_KS_16	vandivfndAnAm vEtAlikasamUhAnAm puraH agre cittAni manAMsi kzaRam vilambya daduH
sp004-001691_KS_16	yataH yudDotsukAH samarotkaRWitAH
sp004-001692_KS_16	samarotkaRWitamanojYatABAvaH na SravaRendriyasya kevalasya iva arTaboDAsamBavAt
sp004-001693_KS_16	saNgrAmeti
sp004-001694_KS_16	saNgrAmAnandena samarotsAhena varDizRO vfdDiSIle ata eva pulakAYcite romAYcavyApte
sp004-001695_KS_16	miTaH milatAm saNgacCamAnAnAm vIrARAm yodDFRAm vigrahe SarIre
sp004-001696_KS_16	jAtO ekavacanam
sp004-001697_KS_16	kavacAnAm vAraRAnAm vicCedaH viBedaH AsIt
sp004-001698_KS_16	nirdayamiti
sp004-001699_KS_16	nirdayam nizkfpam KaqgaBinneByaH karavAlavidIrReByaH kavaceByaH sakASAt
sp004-001700_KS_16	samutTitEH uqqayitEH tUlEH kArpAsEH
sp004-001701_KS_16	tUlaH picO BavettUlam brahmadAruvihAyasoH iti viSvaH
sp004-001702_KS_16	palitEriva jarAjanita SuklatvEriva
sp004-001703_KS_16	palitam jarasA SOklyam ityamaraH
sp004-001704_KS_16	vyomasahitAH diSaH pARqurAH SvetAH Asan
sp004-001705_KS_16	utprekzayA kavacavicCedeऽpi vIrARAm yudDavizayakaH utsAhaH na vicCinnaH iti Dvanyate
sp004-001706_KS_16	ataH alaNkAreRa vastuDvaniH
sp004-001707_KS_16	KaqgA iti
sp004-001708_KS_16	ruDireRa saMliptAH
sp004-001709_KS_16	taTA itastataH caRqAMSukarEH sUryakiraRavyatikarEH BAsurAH
sp004-001710_KS_16	camatkurvantaH vIrARAm KaqgAH vidyutAm taqitAm vEBavam sAdfSyam daduH
sp004-001711_KS_16	tadvat SuSuBire ityarTaH
sp004-001712_KS_16	atra upamayA KaqgAnAm vIrakarasamparkajanitaparikampacamatkArakAritvam Dvanyate
sp004-001713_KS_16	aTaH atrApi alaNkAreRa vastuDvaniH
sp004-001714_KS_16	taTA vIrakarasamparkajanita parikampacamatkArakAritvarUpavyaNgyena
sp004-001715_KS_16	pratidvandvivihananajanita dviguRotsAhavattvam ca vyajyate
sp004-001716_KS_16	visfjanta iti
sp004-001717_KS_16	ruzwEH suBawEH SoBanayodDfBiH visfzwAH vimuktAH SarAH bARAH
sp004-001718_KS_16	muKEH agrEH jvAlAH ulkAH visfjantaH muYcantaH
sp004-001719_KS_16	ata eva BImAH BayAnakAH BujaNgamAH iva ityutprekzA
sp004-001720_KS_16	vyoma karma
sp004-001721_KS_16	vyAnaSire vyApuH
sp004-001722_KS_16	atra suBawakartfkavisarjanavyApArapUrvakavyomavyAptyA prAgBAvitAviSizwaSatruvigrahaBedanam Dvanyate
sp004-001723_KS_16	anyaTA vyomavyAptimAtrasyEva vivakzitatvena vyApfteH vyarTatvam udBAvyeta
sp004-001724_KS_16	tenAtra vastunA vastuDvaniH
sp004-001725_KS_16	bAQamiti
sp004-001726_KS_16	miTaH anyonyam dUram atiSayena niGnatAm praharatAm
sp004-001727_KS_16	DanvinAm DanurDAriRAm vapUMzi gAtrARi bAQam gAQam
sp004-001728_KS_16	dfQamiti yAvat
sp004-001729_KS_16	nirBidyApi aSoRitamuKAH SoRitasAhityarAhityavanti muKAni agrARi
sp004-001730_KS_16	yezAm te ASugAH bARAH BUmim prAviSan pravizwAH
sp004-001731_KS_16	atra viBedakApi SoRitamuKAH iti viroDABAsAlaNkAreRa
sp004-001732_KS_16	bARAnAm atiSIGragAmitvarUpavastuDvaniH
sp004-001733_KS_16	na ca SIGrameva vyaYjanIyamiti vAcyam
sp004-001734_KS_16	ASugAH ityanenEva tadaBihitatvAt
sp004-001735_KS_16	nirBidyeti
sp004-001736_KS_16	Ahavotsave saNgrAmarUpa utsave prItAnAm pravarayoDAnAm atiSrezWayodDFRAm sambanDinaH
sp004-001737_KS_16	ASugAH bARAH dantinaH gajAt nirBidya BedayitvA pUrvam pAtayAmAsuH
sp004-001738_KS_16	paScAtsvayamapi petuH
sp004-001739_KS_16	atra vAkyArTarUpavastunA prARApahArakam tezAm atitEkzRyam vastu Dvanyate iti vastunA vastuDvaniH
sp004-001740_KS_16	jvaladiti
sp004-001741_KS_16	jvaladagnimuKEH prajvaladvahnisahitAgrEH
sp004-001742_KS_16	taTA itaretaram parasparam nIranDrEH nirgatAvakASEH
sp004-001743_KS_16	parasparasaNGawwitEriti tAtparyArTaH
sp004-001744_KS_16	bAREH SarEH
sp004-001745_KS_16	uccEH atiSayitam yaTA taTA kIrRe vyApte vyomni
sp004-001746_KS_16	vEmAnikAH vimAnacAriRaH devAH vizRavAdayaH dUram apAsaran dudruvuH
sp004-001747_KS_16	AtmaSarIrasambanDaSaNkAkulatvAt iti BAvaH
sp004-001748_KS_16	viBinnamiti
sp004-001749_KS_16	DanvinAm bAREH viBinnam vidIrRam
sp004-001750_KS_16	ata eva vyaTArtam pIqayA duHKitam
sp004-001751_KS_16	ata eva vihvalam
sp004-001752_KS_16	itikartavyatAvismaraRASrayam ityarTaH
sp004-001753_KS_16	vyoma naBaH Syenapratiravasya pakziviSezapratiDvaneH CalAt mizeRa
sp004-001754_KS_16	virasam kaWoram yaTA taTA rarAseva ruroda iva ityutprekzAlaNkAraH
sp004-001755_KS_16	cApEriti
sp004-001756_KS_16	AkarRam karRaparyantam AkfzwEH raREziRAm yodDFRAm sambanDiBiH cApEH DanurBiH
sp004-001757_KS_16	vimuktAH visfzwAH ASugAH SarAH ruDirAsvAde lubDAH lampawA iva dUram aDAvan vidrutAH
sp004-001758_KS_16	lampawopi BojanAsvAdAya drutam palAyate tadvat
sp004-001759_KS_16	gfhItA iti
sp004-001760_KS_16	AjO saNgrAme vIrEH kartfBiH
sp004-001761_KS_16	pARiBiH gfhItAH
sp004-001762_KS_16	taTA vikoSAH
sp004-001763_KS_16	koSarahitAH
sp004-001764_KS_16	koSoऽstrI kuqmale pAle divyaKaqgApiDAnake iti medinI
sp004-001765_KS_16	KaqgarAjayaH karavAlapaNktayaH kAntijAlacCalAt dyutisamUhakEtavena sammadAt vIrARAmapi
sp004-001766_KS_16	SatruviGAtasADane vayameva yaTocitAH taTA nAnye iti pramodAt vyahasanniva jahasuriva ityutprekzA
sp004-001767_KS_16	KaqgA iti
sp004-001768_KS_16	SoRitesandigDAH ruDirasaMliptAH
sp004-001769_KS_16	taTA vIrapARizu nftyantaH KaqgAH
sp004-001770_KS_16	rajasA Gane sAndre
sp004-001771_KS_16	taTA anante apAre raRe vidyutAm vEBavam daDuH
sp004-001772_KS_16	tadvat SUSuBire ityarTaH
sp004-001773_KS_16	atra padArTavfttinidarSanAlaNkAraH
sp004-001774_KS_16	kuntA iti
sp004-001775_KS_16	raRANgaRe saNgrAmacatvare caRqam pracaRqam yaTA taTA ullasantaH dIpyamAnAH kuntAH prAsAH
sp004-001776_KS_16	BallAH iti yAvat
sp004-001777_KS_16	kuntaH prAse caRqaBAve kzudrajantO gaveDuke iti viSvaH
sp004-001778_KS_16	lelihAnAH punaH punaH atiSayena vA lihanti te lelihAnAH
sp004-001779_KS_16	AsvAdayantaH ityarTaH
sp004-001780_KS_16	liheH yaNantAt SAnac
sp004-001781_KS_16	yamasya jihvABogAH rasanArUpayantrARIva
sp004-001782_KS_16	ABogo varuRacCittre pUrRatAyantrayorapi iti viSvaH
sp004-001783_KS_16	cakASire didyutire
sp004-001784_KS_16	prajvaladiti
sp004-001785_KS_16	prajvalat pradIpyamAnam kAnticakram dyutimaRqalam yezAm tAni
sp004-001786_KS_16	taTA caRqAm SumaRqalasya sUryamaRqalasya SrIriva SrIH SoBA yezAm tAni
sp004-001787_KS_16	varAH SrezWAH ye cakriRaH yoDAH tezAm sambanDIni cakrARi AyuDaviSezAH
sp004-001788_KS_16	cakro gaRe cakravAke cakram sEnyaraTANgayoH
sp004-001789_KS_16	grAmajAle kulAlasya BARqe rAzwrAstrayorapi iti viSvaH
sp004-001790_KS_16	raRavyomani saNgrAmarUpagagane baBramuH
sp004-001791_KS_16	vA jFBramutrasAm iti etvAByAsalopayoH vikalpaH
sp004-001792_KS_16	aTa vyAKyAnAntaram
sp004-001793_KS_16	varacakriRAm varARAm vIrARAm ye cakriRaH raTAH tezAm cakrARi aNgAni raRavyomani baBramuH
sp004-001794_KS_16	viSezaRadvayam uBayatrApi samAnam
sp004-001795_KS_16	keciditi
sp004-001796_KS_16	aByupeyuzAm sammuKam AgatavatAm vIrARAm DIrEH gamBIrEH praRAdEH garjitEH
sp004-001797_KS_16	kecidvIrAH kzoBataH cittasaYcalanAdDetoH vAhAt aSvAt nipetuH mumUrcCuH
sp004-001798_KS_16	apare kecit madAt garvAt mumuhuH
sp004-001799_KS_16	cetanAvirahitAH baBUvuH ityarTaH
sp004-001800_KS_16	kaSciditi
sp004-001801_KS_16	kaScidvIraH jiGAMsO hantumicCO vIre aByAgate sammuKam Agate sati
sp004-001802_KS_16	mudam AdaDO prasasAda
