sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-000307_YS_01c	te hi svasaMskAramAtropayogena cittena kEvalyapadamiva anuBavantaH svasaMskAravipAkam taTAjAtIyakam ativAhayanti
sp008-000308_YS_01c	taTA prakftilayAH sADikAre cetasi prakftilIne kEvalyapadamiva anuBavanti
sp008-000309_YS_01c	yAvanna punarAvartate aDikAravaSAt cittamiti
sp008-000310_YS_01c	SradDAvIryasmftisamADiprajYApUrvaka itarezAm
sp008-000311_YS_01c	upAyapratyayo yoginAm Bavati
sp008-000312_YS_01c	SradDA cetasaH samprasAdaH
sp008-000313_YS_01c	sA hi jananIva kalyARI yoginam pAti
sp008-000314_YS_01c	tasya hi SraddaDAnasya vivekArTino vIryam upajAyate
sp008-000315_YS_01c	samupajAtavIryasya smftiH upatizWate
sp008-000316_YS_01c	smftyupasTAne ca cittam anAkulam samADIyate
sp008-000317_YS_01c	samAhitacittasya prajYAvivekaH upAvartate
sp008-000318_YS_01c	yena yaTAvat vastu jAnanti
sp008-000319_YS_01c	tadaByAsAt tadvizayAcca vErAgyAt asamprajYAtaH samADiH Bavati
sp008-000320_YS_02	te Kalu nava yogino mfdumaDyADimAtropAyo Bavanti
sp008-000321_YS_02	tadyaTA mfdUpAyaH maDyopAyaH aDimAtropAya iti
sp008-000322_YS_02	tatra mfdUpAyastriviDaH mfdusaMvego maDyasaMvegaH tIvrasaMvegaH iti
sp008-000323_YS_02	taTA maDyopAyaH taTA aDimAtropAya iti
sp008-000324_YS_02	tatra aDimAtropAyAnAm tIvrasaMvegAnAmAsannaH
sp008-000325_YS_02	samADilABaH samADiPalam ca BavatIti
sp008-000326_YS_02	mfdumaDyADimAtratvAt tatoऽpi viSezaH
sp008-000327_YS_02	mfdutIvraH maDyatIvraH aDimAtratIvra iti
sp008-000328_YS_02	tatoऽpi viSezaH tadviSezAt mfdutIvrasaMvegasya AsannaH
sp008-000329_YS_02	tato maDyatIvrasaMvegasya AsannataraH
sp008-000330_YS_02	tasmAt aDimAtratIvrasaMvegasya aDimAtropAyasyApi AsannatamaH samADilABaH samADiPalam ceti
sp008-000331_YS_03	kim etasmAdeva AsannatamaH samADiH Bavati
sp008-000332_YS_03	aTAsya lABe Bavatyanyoऽpi kaScidupAyaH na vA iti
sp008-000333_YS_03	ISvarapraRiDAnAdvA
sp008-000334_YS_03	praRiDAnAd BaktiviSezAt AvarjitaH ISvaraH tam anugfhRAti aBiDyAnamAtreRa
sp008-000335_YS_03	tadaBiDyAnamAtrAdapi yoginaH AsannatamaH samADilABaH samADiPalam ca BavatIti
sp008-000336_YS_03	aTa praDAnapuruzavyatiriktaH koऽyam ISvaro nAmeti
sp008-000337_YS_03	kleSakarma vipAkASayEraparAmfzwaH puruzaviSeza ISvaraH
sp008-000338_YS_03	avidyAdayaH kleSAH
sp008-000339_YS_03	kuSalAkuSalAni karmARi
sp008-000340_YS_03	tatPalam vipAkaH
sp008-000341_YS_03	tadanuguRA vAsanA ASayaH
sp008-000342_YS_03	te ca manasi vartamAnAH puruze vyapadiSyante
sp008-000343_YS_03	sa hi tatPalasya BoktA iti
sp008-000344_YS_03	yaTA jayaH parAjayo vA yodDfzu vartamAnaH svAmini vyapadiSyate
sp008-000345_YS_03	yo hi anena Bogena aparAmfzwaH saH puruzaviSezaH ISvaraH
sp008-000346_YS_03	kEvalyam prAptAstarhi santi ca bahavaH kevalinaH
sp008-000347_YS_03	te hi trIRi banDanAni CittvA kEvalyam prAptAH
sp008-000348_YS_03	ISvarasya ca tatsambanDo na BUto na BAvI
sp008-000349_YS_03	yaTA muktasya pUrvA banDakowiH prajYAyate nEvamISvarasya
sp008-000350_YS_03	yaTA vA prakftilInasya uttarA banDakowiH samBAvyate nEvamISvarasya
sp008-000351_YS_03	sa tu sadEva muktaH sadEveSvara iti
sp008-000352_YS_03	yoऽsO prakfzwa sattvopAdAnAt ISvarasya SASvatika utkarzaH
sp008-000353_YS_03	sa kim sanimitta Ahosvit nirnimitta iti
sp008-000354_YS_03	tasya SAstram nimittam
sp008-000355_YS_03	SAstram punaH kinnimittam prakfzwasattvanimittam
sp008-000356_YS_03	etayoH SAstrotkarzayoH ISvarasattve vartamAnayoranAdiH sambanDaH
sp008-000357_YS_03	etasmAdetat Bavati sadEveSvaraH sadEva muktaH iti
sp008-000358_YS_03	tacca tasya ESvaryam sAmyAtiSaya vinirmuktam
sp008-000359_YS_03	na tAvat ESvaryAntareRa tadatiSayyate
sp008-000360_YS_03	yadeva atiSayi syAt tadeva tatsyAt
sp008-000361_YS_03	tasmAt yatra kAzWAprAptiH ESvaryasya sa ISvaraH
sp008-000362_YS_03	na ca tatsamAnam ESvaryamasti
sp008-000363_YS_03	kasmAt dvayoH tulyayoH ekasmin yugapat kAmiteऽrTe navamidam astu purARamidam astu
sp008-000364_YS_03	ityekasya sidDO itarasya prAkAmya viGAtAt Unatvam prasaktam
sp008-000365_YS_03	dvayoSca tulyayoH yugapat kAmitArTaprAptiH nAsti
sp008-000366_YS_03	arTasya virudDatvAt
sp008-000367_YS_03	tasmAt yasya sAmyAtiSayEH vinirmuktam ESvaryam sa eva ISvaraH
sp008-000368_YS_03	sa ca puruzaviSeza iti
sp008-000369_YS_04	kim ca tatra niratiSayam sarvajYatvabIjam
sp008-000370_YS_04	yadidam atItAnAgata pratyutpanna pratyeka samuccayAtIndriya grahaRam alpam bahviti sarvajYabIjam etadDi varDamAnam yatra niratiSayam sa sarvajYaH
sp008-000371_YS_04	asti kAzWAprAptiH sarvajYabIjasya sAtiSayatvAt parimARavaditi
sp008-000372_YS_04	yatra kAzWAprAptiH jYAnasya sa sarvajYaH
sp008-000373_YS_04	sa ca puruzaviSeza iti
sp008-000374_YS_04	sAmAnyamAtropasaMhAre ca kftopakzayam anumAnam na viSezapratipattO samarTamiti
sp008-000375_YS_04	yasya saYjYAdiviSezapratipattiH AgamataH paryanvezyA
sp008-000376_YS_04	tasya AtmAnugrahABAveऽpi BUtAnugrahaH prayojanam
sp008-000377_YS_04	jYAnaDarmopadeSena kalpapralaya mahApralayezu saMsAriRaH puruzAn udDarizyAmi iti
sp008-000378_YS_04	taTA coktam AdividvAn nirmARacittam aDizWAya kAruRyAt BagavAn paramarziH Asuraye jijYAsamAnAya tantram provAca iti
sp008-000379_YS_04	sa ezaH sa pUrvezAmapi guruH kAlenAnavacCedAt
sp008-000380_YS_04	pUrvam hi guravaH kAlena avacCidyante
sp008-000381_YS_04	yatra avacCedArTena kAlo nopAvartate sa eza pUrvezAmapi guruH
sp008-000382_YS_04	yaTA asya sargasya AdO prakarzagatyA sidDaH taTA atikrAntasargAdizvapi pratyetavyaH
sp008-000383_YS_04	tasya vAcakaH praRavaH
sp008-000384_YS_04	vAcyaH ISvaraH praRavasya
sp008-000385_YS_04	kimasya saNketakftam vAcyavAcakatvam aTa pradIpaprakASavat avatsTitamiti
sp008-000386_YS_04	sTitoऽsya vAcyasya vAcakena saha sambanDaH
sp008-000387_YS_04	saNketastu ISvarasya sTitameva arTam aBinayati
sp008-000388_YS_04	yaTAvasTitaH pitAputrayoH sambanDaH saNketena avadyotyate
sp008-000389_YS_04	ayamasya pitA ayamasya putraH iti
sp008-000390_YS_04	sargAntarezvapi vAcyavAcakaSaktyapekzaH taTEva saNketaH kriyate
sp008-000391_YS_04	sampratipattinityatayA nityaH SabdArTasambanDaH ityAgaminaH pratijAnate
sp008-000392_YS_04	vijYAtavAcyavAcakatvasya yoginaH
sp008-000393_YS_04	tajjapastadarTaBAvanam
sp008-000394_YS_04	praRavasya japaH praRavABiDeyasya ceSvarasya BAvanam
sp008-000395_YS_04	tadasya yoginaH praRavam japataH praRavArTam ca BAvayataH cittam ekAgram sampadyate
sp008-000396_YS_04	taTA coktam
sp008-000397_YS_04	svADyAyAdyogamAsIta yogAtsvADyAyamAmaneta
sp008-000398_YS_04	svADyAyayogasampattyA paramAtma prakASate iti
sp008-000399_YS_04	kim cAsya Bavati
sp008-000400_YS_04	tataH pratyakcetanADigamoऽpyantarAyABAvaSca
sp008-000401_YS_04	ye tAvat antarAyA vyADipraBftayaH te tAvat ISvarapraRiDAnAt na Bavanti
sp008-000402_YS_04	svarUpadarSanamapi asya Bavati
sp008-000403_YS_04	yaTEva ISvaraH puruzaH SudDaH prasannaH kevalaH anupasargaH taTA ayamapi budDeH pratisaMvedI puruzaH ityevam aDigacCati
sp008-000404_YS_05	aTa ke antarAyAH ye cittasya vikzepAH ke punaste kiyanto vA iti
sp008-000405_YS_05	vyADistyAnasaMSayapramAdAlasyAviratiBrAntidarSanAlabDaBUmikatvAnavasTitatvAni cittavikzepAsteऽntarAyAH
sp008-000406_YS_05	nava antarAyAH cittasya vikzepAH
sp008-000407_YS_05	sahEte cittavfttiBiH Bavanti
sp008-000408_YS_05	etezAm aBAve na Bavanti pUrvoktAH cittavfttayaH
sp008-000409_YS_05	tatra vyADiH DAtu rasa karaRa vEzamyam
sp008-000410_YS_05	styAnam akarmaRyatA cittasya
sp008-000411_YS_05	saMSayaH uBayakowispfgvijYAnam syAt idamevam nEvam syAditi
sp008-000412_YS_05	pramAdaH samADisADanAnAm aBAvanam
sp008-000413_YS_05	Alasyam kAyasya cittasya ca gurutvAt apravfttiH
sp008-000414_YS_05	aviratiH cittasya vizayasamprayogAtmA garDaH
sp008-000415_YS_05	BrAntidarSanam viparyayajYAnam
sp008-000416_YS_05	alabDaBUmikatvam samADiBUmeH alABaH anavasTitatvam labDAyAm BUmO cittasya apratizWA
sp008-000417_YS_05	samADipratilamBe hi sati tadavasTitam syAditi
sp008-000418_YS_05	ete cittavikzepA nava yogamalA yogapratipakzA yogAntarAyA ityaBiDIyante
sp008-000419_YS_05	duHKa dOrmanasyANgamejayatva SvAsapraSvAsA vikzepasahaBuvaH
sp008-000420_YS_05	duHKam ADyAtmikam ADiBOtikam ADidEvikam ca
sp008-000421_YS_05	yenABihatAH prARinaH tadupaGAtAya prayatante tadduHKam
sp008-000422_YS_05	dOrmanasyam icCAviGAtAt cetasaH kzoBaH
sp008-000423_YS_05	yadaNgAni Ejayati kampayati tadaNgamejayatvam
sp008-000424_YS_05	prARo yadbAhyam vAyumAcAmati sa SvAsaH
sp008-000425_YS_05	yatkozWyam vAyum niHsArayati sa praSvAsaH
sp008-000426_YS_05	ete vikzepasahaBuvaH vikziptacittasya ete Bavanti
sp008-000427_YS_05	samAhitacittasya ete na Bavanti
sp008-000428_YS_05	aTEte vikzepAH samADipratipakzAH tAByAmeva aByAsavErAgyAByAm nirodDavyAH
sp008-000429_YS_05	tatrAByAsasya vizayamupasaMharan idamAha
sp008-000430_YS_05	tatpratizeDArTamekatattvAByAsaH
sp008-000431_YS_05	vikzepapratizeDArTam ekatattvAvalambanam cittam aByaseta
sp008-000432_YS_05	yasya tu pratyarTaniyatam pratyayamAtram kzaRikam ca cittam tasya sarvameva cittam ekAgram nAstyeva vikziptam
sp008-000433_YS_05	yadi punaridam sarvataH pratyAhftya ekasminnarTe samADIyate
sp008-000434_YS_05	tadA Bavati ekAgram ityataH na pratyarTaniyatam
sp008-000435_YS_05	yoऽpi sadfSapratyayapravAheRa cittam ekAgram manyate tasya ekAgratA
sp008-000436_YS_05	yadi pravAhacittasya DarmaH tadA ekam nAsti pravAhacittam kzaRikatvAt
sp008-000437_YS_05	aTa pravAhAMSasyEva pratyayasya DarmaH sa sarvaH sadfSapratyayapravAhI vA visadfSapratyayapravAhI vA pratyarTaniyatatvAt ekAgra eveti vikziptacittAnupapattiH
sp008-000438_YS_05	tasmAdekam anekArTam avasTitam cittamiti
sp008-000439_YS_05	yadi ca cittena ekena ananvitAH svaBAvaBinnAH pratyayAH jAyeran aTa kaTam anyapratyayadfzwasya anyaH smartA Bavet
sp008-000440_YS_05	anyapratyayopacitasya ca karmASayasya anyaH pratyayaH upaBoktA Bavet
sp008-000441_YS_05	kaTaYcit samADIyamAnam api etadgomayapAyasIyam nyAyamAkzipati
sp008-000442_YS_05	kim ca svAtmAnuBavApahnavaH cittasya anyatve prApnoti
sp008-000443_YS_05	kaTam yadaham adrAkzam tatspfSAmi
sp008-000444_YS_05	yacca aprakzam tatpaSyAmi ityahamiti pratyayaH sarvasya pratyayasya Bede sati pratyayini aBedena upasTitaH
sp008-000445_YS_05	ekapratyayavizayoऽyam aBedAtmA ahamiti pratyayaH kaTam atyantaBinnezu cittezu vartamAnam sAmAnyamekam pratyayinam ASrayet
sp008-000446_YS_05	svAnuBavagrAhyaSca ayam aBedAtmAham iti pratyayaH
sp008-000447_YS_05	na ca pratyakzasya mAhAtmyam pramARAntareRa aBiBUyate
sp008-000448_YS_05	pramARAntaram ca pratyakzabalenEva vyavahAram laBate
sp008-000449_YS_05	tasmAt ekam anekArTam avasTitam ca cittam
sp008-000450_YS_06	yasya cittasya avasTitasya idam SAstreRa parikarma nirdiSyate tatkaTam
sp008-000451_YS_06	mEtrIkaruRAmuditopekzaRAm suKaduHKapuRyApuRyavizayARAm BAvanAtaScittaprasAdanam
sp008-000452_YS_06	tatra sarvaprARizu suKasamBogApannezu mEtrIm BAvayet
sp008-000453_YS_06	duHKitezu karuRAm
sp008-000454_YS_06	puRyAtmakezu muditAm
sp008-000455_YS_06	apuRyaSIlezu upekzAm
sp008-000456_YS_06	evamasya BAvayataH Suklo Darma upajAyate
sp008-000457_YS_06	tataSca cittam prasIdati
sp008-000458_YS_06	prasannam ekAgram sTitipadam laBate
sp008-000459_YS_06	pracCardana viDAraRAByAm vA prARasya
sp008-000460_YS_06	kozWyasya vAyoH nAsikApuwAByAm prayatnaviSezAt vamanam pracCardanam
sp008-000461_YS_06	viDAraRam prARAyAmaH
sp008-000462_YS_06	tAByAm vA manasaH sTitim sampAdayet
sp008-000463_YS_06	vizayavatI vA pravfttirutpannA manasaH sTitinibanDinI
sp008-000464_YS_06	nAsikAgre DArayatoऽsya yA divyaganDasaMvit sA ganDapravfttiH
sp008-000465_YS_06	jihvAgre rasasaMvit
sp008-000466_YS_06	tAluni rUpasaMvit
sp008-000467_YS_06	jihvAmaDye sparSasaMvit
sp008-000468_YS_06	jihvAmUle SabdasaMvit ityetAH vfttayaH utpannAH cittam sTitO nibaDnanti
sp008-000469_YS_06	saMSayam viDamanti samADiprajYAyAm ca dvArIBavanti
sp008-000470_YS_06	etena candrAditya graha maRi pradIpa ratnAdizu pravfttirutpannA vizayavatI iva veditavyA
sp008-000471_YS_06	yadyapi hi tattacCAstrAnumAnAcAryopadeSEH avagatam arTatattvam sadBUtameva Bavati
sp008-000472_YS_06	etezAm yaTABUtArTapratipAdanasAmarTyAt taTApi yAvadekadeSoऽpi kaScinna svakaraRasaMvedyo Bavati
sp008-000473_YS_06	tAvat sarvam parokzamiva apavargAdizu sUkzmezu arTezu na dfQAm budDim utpAdayati
sp008-000474_YS_06	tasmAt SAstrAnumAnAcAryopadeSopodvalanArTameva avaSyam kaScidarTaviSezaH pratyakzIkartavyaH
sp008-000475_YS_06	tatra tadupadizwArTEkadeSapratyakzatve sati sarvam sUkzmavizayamapi ApavargAt SradDIyate
sp008-000476_YS_06	etadarTameva idam cittaparikarma nirdiSyate
sp008-000477_YS_06	aniyatAsu vfttizu tadvizayAyAm vaSIkArasaYjYAyAm upajAtAyAm cittam samarTam syAt
sp008-000478_YS_06	tasya tasyArTasya pratyakzIkaraRAya iti
sp008-000479_YS_06	taTA ca sati SradDA vIrya smfti samADayaH asya apratibanDena Bavizyanti iti
sp008-000480_YS_07	viSokA vA jyotizmatI
sp008-000481_YS_07	pravfttirutpannA manasaH sTitinibanDanIti anuvartate
sp008-000482_YS_07	hfdayapuRqarIke DArayato yA budDisaMvit budDisattvam hi BAsvaram AkASakalpam
sp008-000483_YS_07	tatra sTitivESAradyAt pravfttiH sUryendu graha maRi praBArUpAkAreRa vikalpate
sp008-000484_YS_07	taTAऽsTitAyAm samApannam cittam nistaraNga mahodaDikalpam SAntam anantam asmitAmAtram Bavati
sp008-000485_YS_07	yatredamuktam tam aRumAtramAtmAnam anuvidya asmItyevam tAvat samprajAnIte iti
sp008-000486_YS_07	ezA dvayI viSokA vizayavatI asmitAmAtrA ca pravfttiH jyotizmatI ityucyate
sp008-000487_YS_07	yayA yoginaH cittam sTitipadam laBate iti
sp008-000488_YS_07	vItarAgavizayam vA cittam
sp008-000489_YS_07	vItarAgacittAlambanoparaktam vA yoginaScittam sTitipadam laBata iti
sp008-000490_YS_07	svapnanidrAjYAnAlambanam vA
sp008-000491_YS_07	svapnajYAnAlambanam vA nidrAjYAnAlambanam vA tadAkAram yoginaScittam sTitipadam laBata iti
sp008-000492_YS_07	yaTABimataDyAnAdvA
sp008-000493_YS_07	yadevABimatam tadeva DyAyet
sp008-000494_YS_07	tatra labDasTitikam anyatrApi sTitipadam laBata iti
sp008-000495_YS_07	paramARuparamamahattvAntoऽsya vaSIkAraH
sp008-000496_YS_07	sUkzme niviSamAnasya paramARvantam sTitipadam laBate iti
sp008-000497_YS_07	sTUle niviSamAnasya paramamahattvAntam sTitipadam cittasya
sp008-000498_YS_07	evam tO uBayIm kowim anuDAvato yoऽsya apratiGAtaH saH paro vaSIkAraH
sp008-000499_YS_07	tadvaSIkArAt paripUrRam yoginaH cittam na punaraByAsakftam parikarmApekzata iti
sp008-000500_YS_07	aTa labDasTitikasya cetasaH kiMsvarUpA kiMvizayA vA samApattiriti taducyate
sp008-000501_YS_07	kzIRavftteraBijAtasyeva maRergrahItfgrahaRagrAhyezu tatsTatadaYjanatAsamApattiH
sp008-000502_YS_07	kzIRavftteriti pratyamita pratyayasya ityarTaH
sp008-000503_YS_07	aBijAtasyeva maReriti dfzwAntopAdAnam
sp008-000504_YS_07	yaTA sPawikaH upASrayaBedAt tattadrUpoparaktaH upASrayarUpAkAreRa nirBAsate
sp008-000505_YS_07	taTA grAhyAlambanoparaktam cittam grAhyasamApannam grAhyasvarUpAkAreRa nirBAsate
sp008-000506_YS_07	taTA BUtasUkzmoparaktam BUtasUkzmasamApannam BUtasUkzmasvarUpABAsam Bavati
sp008-000507_YS_07	taTA viSvaBedoparaktam viSvaBedasamApannam viSvarUpABAsam Bavati
sp008-000508_YS_07	taTA grahaRezvapi indriyezvapi drazwavyam
sp008-000509_YS_07	grahaRAlambanoparaktam grahaRasamApannam grahaRasvarUpAkAreRa nirBAsate
sp008-000510_YS_07	taTA grahItfpuruzAlambanoparaktam grahItfpuruzasamApannam grahItfpuruzasvarUpAkAreRa nirBAsate
sp008-000511_YS_07	taTA muktapuruzAlambanoparaktam muktapuruzasamApannam muktapuruzasvarUpAkAreRa nirBAsata iti
sp008-000512_YS_07	tadevamaBijAtamaRikalpasya cetaso grahItfgrahaRagrAhyezu puruzendriyaBUtezu yA tatsTatadaYjanatA tezu sTitasya tadAkArApattiH sA samApattiH ityucyate
sp008-000513_YS_08	tatra SabdArTajYAnavikalpEH saNkIrRA savitarkA samApattiH
sp008-000514_YS_08	tadyaTA gOriti SabdaH gOrityarTaH gOriti jYAnamiti aviBAgena viBaktAnAmapi grahaRam dfzwam
sp008-000515_YS_08	viBajyamAnASca anye SabdaDarmAH anye arTaDarmAH anye jYAnaDarmAH ityetezAm viBaktaH panTAH
sp008-000516_YS_08	tatra samApannasya yogino yo gavAdyarTaH samADiprajYAyAm samArUQaH sa cet SabdArTajYAnavikalpAnuvidDaH upAvartate
sp008-000517_YS_08	sA saNkIrRA samApattiH savitarkA ityucyate
sp008-000518_YS_08	yadA punaH SabdasaNketasmftipariSudDO SrutAnumAnajYAnavikalpaSUnyAyAm samADiprajYAyAm svarUpamAtreRa avasTitaH arTaH tatsvarUpAkAramAtratayA eva avacCidyate
sp008-000519_YS_08	sA ca nirvitarkA samApattiH
sp008-000520_YS_08	tatparam pratyakzam
sp008-000521_YS_08	tacca SrutAnumAnayoH bIjam
sp008-000522_YS_08	tataH SrutAnumAne praBavataH
sp008-000523_YS_08	na ca SrutAnumAnajYAnasahaBUtam taddfzwAntam
sp008-000524_YS_08	tasmAt asaNkIrRam pramARAntareRa yogino nirvitarkasamADijam darSanamiti
sp008-000525_YS_08	nirvitarkAyAH samApatteH asyAH sUtreRa lakzaRam dyotyate
sp008-000526_YS_08	smftipariSudDO svarUpa SUnyevArTa mAtra nirBAsA nirvitarkA
sp008-000527_YS_08	yA Sabda saNketa SrutAnumAna jYAnavikalpasmftipariSudDO grAhyasvarUpoparaktA prajYA
sp008-000528_YS_08	svamiva prajYAsvarUpam grahaRAtmakam tyaktvA padArTamAtrasvarUpA grAhyasvarUpApannA iva Bavati
sp008-000529_YS_08	sA tadA nirvitarkA samApattiH
sp008-000530_YS_08	taTA ca vyAKyAtam
sp008-000531_YS_08	tasyAH ekabudDyupakramo hyarTAtmARu pracayaviSezAtmA gavAdiH GawAdirvA lokaH
sp008-000532_YS_08	sa ca saMsTAnaviSezo BUtasUkzmARAm sADAraRo DarmaH
sp008-000533_YS_08	AtmaBUtaH Palena vyaktenAnumitaH svavyaYjakAYjanaH prAdurBavati
sp008-000534_YS_08	DarmAntarodaye ca tiroBavati
sp008-000535_YS_08	sa eza DarmaH avayavI ityucyate
sp008-000536_YS_08	yoऽsO ekaSca mahAn ca aRIyAn ca sparSavAn ca kriyADarmakaSca anityaSca
sp008-000537_YS_08	tena avayavinA vyavahArAH kriyante
sp008-000538_YS_08	yasya punaH avastukaH sa pracayaviSezaH sUkzmam ca kAraRam anupalaByam
sp008-000539_YS_08	avikalpasya tasya avayavyaBAvAt atadrUpapratizWam miTyAjYAnamiti prAyeRa sarvameva prAptam miTyAjYAnamiti
sp008-000540_YS_08	tadA ca samyag jYAnamapi kim syAt vizayABAvAt
sp008-000541_YS_08	yad yadupalaByate tattadavayavitvena AGrAtam
sp008-000542_YS_08	tasmAdasti avayavI yo mahattvAdivyavahArApannaH samApatteH nirvitarkAyAH vizayo Bavati
sp008-000543_YS_08	etayEva savicArA nirvicArA ca sUkzmavizayA vyAKyAtA
sp008-000544_YS_08	tatra BUtasUkzmezu aBivyaktaDarmakezu deSakAla nimittAnuBavAvacCinnezu yA samApattiH sA savicArA ityucyate
sp008-000545_YS_08	tatrApi ekabudDinirgrAhyameva uditaDarmaviSizwam BUtasUkzmam AlambanIBUtam samADiprajYAyAm upatizWate
sp008-000546_YS_08	yA punaH sarvaTA sarvataH SAntoditAvyapadeSyaDarmAnavacCinnezu sarvaDarmAnupAtizu sarvaDarmAtmakezu samApattiH sA nirvicArA ityucyate
sp008-000547_YS_08	evaMsvarUpam hi tad BUtasUkzmametenEva svarUpeRa AlambanIBUtameva samADiprajYAsvarUpam uparaYjayati
sp008-000548_YS_08	prajYA ca svarUpaSUnyeva arTamAtrA yadA Bavati tadA nirvicArA ityucyate
sp008-000549_YS_08	tatra mahAvastuvizayA savitarkA nirvitarkA ca
sp008-000550_YS_08	sUkzmavizayA savicArA nirvicArA ca
sp008-000551_YS_08	evamuBayoH etayEva nirvitarkayA vikalpahAniH vyAKyAtA iti
sp008-000552_YS_09	sUkzmavizayatvam cAliNgaparyavasAnam
sp008-000553_YS_09	pArTivasya aRoH ganDatanmAtram sUkzmo vizayaH
sp008-000554_YS_09	Apyasya rasatanmAtram tEjasasya rUpatanmAtram
sp008-000555_YS_09	vAyavIyasya sparSatanmAtram AkASasya SabdatanmAtram iti
sp008-000556_YS_09	tezAm ahaNkAraH asyApi liNgamAtram sUkzmo vizayaH
sp008-000557_YS_09	liNgamAtrasyApi aliNgam sukzmo vizayaH
sp008-000558_YS_09	na ca aliNgAtparam sUkzmamasti nanvasti puruzaH sUkzma iti
sp008-000559_YS_09	satyam yaTA liNgAt param aliNgasya sOcamyam na cEvam puruzasya
sp008-000560_YS_09	kintu liNgasya anvayikAraRam puruzo na Bavati hetustu BavatIti
sp008-000561_YS_09	ataH praDAne sOmyam niratiSayam vyAKyAtam
sp008-000562_YS_09	tA eva sabIjaH samADiH
sp008-000563_YS_09	tAH catasraH samApattayo bahirvastubIjA iti samADirapi sabIjaH
sp008-000564_YS_09	tatra sTUleऽrTe savitarko nirvitarkaH sUkzmeऽrTe savicAro nirvicAraH iti
sp008-000565_YS_09	caturDopasaNKyAtaH samADiH iti
sp008-000566_YS_09	nirvicAravESAradyeऽDyAtmaprasAdaH
sp008-000567_YS_09	aSudDyAvaraRamalApetasya prakASAtmano budDisattvasya rajastamoByAm anaBiBUtaH svacCaH sTitipravAho vESAradyam
sp008-000568_YS_09	yadA nirvicArasya samADeH vESAradyamidam jAyate tadA yogino Bavati aDyAtmaprasAdaH
sp008-000569_YS_09	BUtArTavizayaH kramAnanuroDI sPuwaprajYAऽऽlokaH taTA coktam
sp008-000570_YS_10	prajYAprAsAdamAruhya aSocyaH Socato janAn
sp008-000571_YS_10	BUmizWAniva SElasTaH sarvAn prAjYoऽnupaSyati
sp008-000572_YS_10	ftamBarA tatra prajYA
sp008-000573_YS_10	tasmin samAhitacittasya yA prajYA jAyate tasyA ftamBareti saYjYA Bavati
sp008-000574_YS_10	anvarTA ca sA satyameva biBarti
sp008-000575_YS_10	na ca tatra viparyAsajYAnaganDoऽpi astIti
sp008-000576_YS_10	taTA coktam
sp008-000577_YS_10	AgamenAnumAnena DyAnAByAsarasena ca
sp008-000578_YS_10	triDA prakalpayanprajYAm laBate yogamuttamam iti
sp008-000579_YS_10	sA punaH
sp008-000580_YS_10	SrutAnumAnaprajYAByAmanyavizayA viSezArTatvAt
sp008-000581_YS_10	Srutam AgamavijYAnam tatsAmAnyavizayam
sp008-000582_YS_10	na hi Agamena SakyaH viSezoऽBiDAtum
sp008-000583_YS_10	kasmAt na hi viSezeRa kftasaNketaH Sabda iti
sp008-000584_YS_10	taTAnumAnam sAmAnyavizayameva
sp008-000585_YS_10	yatra prAptiH tatra gatiH yatra na prAptiH tatra na gatiH ityuktam
sp008-000586_YS_10	anumAnena ca sAmAnyena upasaMhAraH
sp008-000587_YS_10	tasmAt SrutAnumAnavizayo na viSezaH kaScidastIti
sp008-000588_YS_10	na cAsya sUkzmavyavahitaviprakfzwasya vastunaH lokapratyakzeRa grahaRamasti
sp008-000589_YS_10	na cAsya viSezasya apramARakasya aBAvaH astIti samADiprajYAnirgrAhya eva sa viSezo Bavati
sp008-000590_YS_10	BUtasUkzmagato vA puruzagato vA
sp008-000591_YS_10	tasmAt SrutAnumAnaprajYAByAm anyavizayA sA prajYA viSezArTatvAditi
sp008-000592_YS_10	samADiprajYApratilamBe yoginaH prajYAkftaH saMskAro navo navo jAyate
sp008-000593_YS_10	tajjaH saMskAroऽnyasaMskArapratibanDI
sp008-000594_YS_10	samADiprajYApraBavaH saMskAro vyutTAnasaMskArASayam bADate
sp008-000595_YS_10	vyutTAnasaMskArABiBavAt tatpraBavAH pratyayAH na Bavanti
sp008-000596_YS_10	pratyayaniroDe samADirupatizWate
sp008-000597_YS_10	tataH samADijA prajYA tataH prajYAkftAH saMskArAH iti navo navaH saMskArASayo jAyate
sp008-000598_YS_10	tataSca prajYA tataSca saMskArAH iti
sp008-000599_YS_10	kaTamasO saMskArAtiSayaH cittam sADikAram na karizyati iti
sp008-000600_YS_10	na te prajYAkftAH saMskArAH kleSakzayahetutvAt cittam aDikAraviSizwam kurvanti
sp008-000601_YS_10	cittam hi te svakAryAt avasAdayanti
sp008-000602_YS_10	KyAtiparyavasAnam hi cittacezwitamiti
sp008-000603_YS_10	kim cAsya Bavati
sp008-000604_YS_10	tasyApi niroDe sarvaniroDAn nirbIjaH samADiH
sp008-000605_YS_10	iti Bagavat pataYjaliviracite yogasUtre praTamaH samADipAdaH
sp008-000606_YS_10	sa na kevalam samADiprajYAviroDI
sp008-000607_YS_10	prajYAkftAnAmapi saMskArARAm pratibanDI Bavati
sp008-000608_YS_10	kasmAt niroDajaH saMskAraH samADijAn saMskArAn bADate iti
